# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.026763213047043166e+01
0.000000000000000000e+00,9.799999999999999822e-01,-6.659780625853039551e+10,-2.927223969575245857e+09,-1.019507542284278045e+01
0.000000000000000000e+00,9.599999999999999645e-01,-1.248610600677034607e+11,-7.542510231706002235e+09,-1.025408453980134560e+01
0.000000000000000000e+00,9.399999999999999467e-01,-1.708379747346137695e+11,-1.294105579635784912e+10,-1.028433004095094816e+01
0.000000000000000000e+00,9.200000000000000400e-01,-2.032839449972373657e+11,-1.877682000515315628e+10,-1.029897890923022707e+01
0.000000000000000000e+00,9.000000000000000222e-01,-2.218116492453235779e+11,-2.474712213631411743e+10,-1.029808791544859403e+01
0.000000000000000000e+00,8.800000000000000044e-01,-2.265363169861163940e+11,-3.050666197294623184e+10,-1.027791200253372139e+01
0.000000000000000000e+00,8.599999999999999867e-01,-2.180948802130948181e+11,-3.559399592791373444e+10,-1.023061394993748863e+01
0.000000000000000000e+00,8.399999999999999689e-01,-1.978432775120054016e+11,-3.936524095012350464e+10,-1.014557596637598635e+01
0.000000000000000000e+00,8.200000000000000622e-01,-1.681897104082752380e+11,-4.100245555231600952e+10,-1.001625568572158009e+01
0.000000000000000000e+00,8.000000000000000444e-01,-1.328741658204454193e+11,-3.973422825199536896e+10,-9.855231349023799936e+00
0.000000000000000000e+00,7.800000000000000266e-01,-9.672868564619357300e+10,-3.532887273738538361e+10,-9.704896011120434096e+00
0.000000000000000000e+00,7.600000000000000089e-01,-6.452982640793358612e+10,-2.853260845843159866e+10,-9.618412558414794589e+00
0.000000000000000000e+00,7.399999999999999911e-01,-3.943357623018855286e+10,-2.088414038140398788e+10,-9.619358302260749838e+00
0.000000000000000000e+00,7.199999999999999734e-01,-2.217748789666631317e+10,-1.393934404746054649e+10,-9.686871437377636340e+00
0.000000000000000000e+00,6.999999999999999556e-01,-1.155561327342700005e+10,-8.598317307052970886e+09,-9.778122635352882952e+00
0.000000000000000000e+00,6.799999999999999378e-01,-5.584202276469386101e+09,-4.977233422860904694e+09,-9.858578080671806632e+00
0.000000000000000000e+00,6.599999999999999201e-01,-2.479829550143138885e+09,-2.724205890379783630e+09,-9.915548445349022799e+00
0.000000000000000000e+00,6.400000000000000133e-01,-1.013029667298608065e+09,-1.397237340469705343e+09,-9.951760139773538683e+00
0.000000000000000000e+00,6.199999999999999956e-01,-4.161413709930993319e+08,-6.465552067134804726e+08,-9.973351375032844857e+00
0.000000000000000000e+00,5.999999999999999778e-01,-2.083340944652001858e+08,-2.237110299045187831e+08,-9.985065319911775816e+00
0.000000000000000000e+00,5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.980435925668560415e+00
1.124315871799999936e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.014360506260032402e+01
1.124315871799999936e-02,9.799999999999999822e-01,-6.878334170249363708e+10,-2.680442401327063084e+09,-9.927657476133878944e+00
1.124315871799999936e-02,9.599999999999999645e-01,-1.277291835686900482e+11,-7.349176161553406715e+09,-9.900891294016940236e+00
1.124315871799999936e-02,9.399999999999999467e-01,-1.740418282375954285e+11,-1.282342876815722084e+10,-9.903029053774783819e+00
1.124315871799999936e-02,9.200000000000000400e-01,-2.066511887126471558e+11,-1.873612888352878952e+10,-9.907779602612018621e+00
1.124315871799999936e-02,9.000000000000000222e-01,-2.251704054675551758e+11,-2.479841957862165070e+10,-9.910613125854755623e+00
1.124315871799999936e-02,8.800000000000000044e-01,-2.296715758871017151e+11,-3.068283639700865173e+10,-9.908601033321895457e+00
1.124315871799999936e-02,8.599999999999999867e-01,-2.207036874178378906e+11,-3.594590482830683899e+10,-9.899446377372891348e+00
1.124315871799999936e-02,8.399999999999999689e-01,-1.995009952084597168e+11,-3.994273499255128479e+10,-9.881699025486639698e+00
1.124315871799999936e-02,8.200000000000000622e-01,-1.683901853548860168e+11,-4.179591699028219604e+10,-9.856599893097090614e+00
1.124315871799999936e-02,8.000000000000000444e-01,-1.312437235105067444e+11,-4.059365541960643005e+10,-9.830337961087467491e+00
1.124315871799999936e-02,7.800000000000000266e-01,-9.337920363441680908e+10,-3.597397239171785736e+10,-9.813682731927064751e+00
1.124315871799999936e-02,7.600000000000000089e-01,-6.019628188077780151e+10,-2.873764951867316818e+10,-9.816255470939546868e+00
1.124315871799999936e-02,7.399999999999999911e-01,-3.512348074768667603e+10,-2.065283911711268616e+10,-9.838942518998804232e+00
1.124315871799999936e-02,7.199999999999999734e-01,-1.864915028355996704e+10,-1.346564774880134773e+10,-9.873535292954743525e+00
1.124315871799999936e-02,6.999999999999999556e-01,-9.069403745305143356e+09,-8.104996447013047218e+09,-9.909562993530958153e+00
