# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
0.000000000000000000e+00,1.000000000000000000e+00,8.487627387649419575e+01,0.000000000000000000e+00,1.054251005937491037e+01
0.000000000000000000e+00,9.499999999999999556e-01,8.008755083530398622e+01,2.677884794110591216e+00,1.053050949098652112e+01
0.000000000000000000e+00,9.000000000000000222e-01,6.606048566464239968e+01,5.126936843639512631e+00,1.045144218497228827e+01
0.000000000000000000e+00,8.499999999999999778e-01,4.447266232895440652e+01,6.644206956504671524e+00,1.011630624935194156e+01
0.000000000000000000e+00,8.000000000000000444e-01,2.108343928760129415e+01,5.594251375781614577e+00,9.430912912238683887e+00
0.000000000000000000e+00,7.500000000000000000e-01,5.776635998401641992e+00,2.282119922749271890e+00,9.363691808596788846e+00
0.000000000000000000e+00,6.999999999999999556e-01,5.595381271866259887e-01,3.188737062795912180e-01,9.811600610128076383e+00
0.000000000000000000e+00,6.500000000000000222e-01,-3.276996514988172460e-01,-6.003758487380787129e-02,1.000779130656134086e+01
0.000000000000000000e+00,5.999999999999999778e-01,-2.750971464095990683e-06,1.563250513603486391e-07,1.012577483703804582e+01
0.000000000000000000e+00,5.500000000000000444e-01,-5.697968311598049540e-08,-2.000349683444209016e-08,9.967568753715632113e+00
0.000000000000000000e+00,5.000000000000000000e-01,-6.321750363951653341e-08,-1.702656193592031662e-08,9.999999793993540109e+00
0.000000000000000000e+00,4.500000000000000111e-01,1.674966851279724566e-06,-3.464980130579675246e-07,9.999999896500588292e+00
0.000000000000000000e+00,4.000000000000000222e-01,3.084513942328212809e-06,-7.583531230801438329e-07,9.999999974152780524e+00
0.000000000000000000e+00,3.499999999999999778e-01,3.093571478321221993e-06,-5.472792845317305023e-07,1.000000016950597015e+01
0.000000000000000000e+00,2.999999999999999889e-01,9.234424010068973795e-08,-5.112102826101598926e-08,1.000000013885485650e+01
0.000000000000000000e+00,2.500000000000000000e-01,1.766968829037754786e-07,-5.555858435041672408e-08,9.997863772455815479e+00
0.000000000000000000e+00,2.000000000000000111e-01,3.141557067548572236e-07,-4.349929633670785833e-08,9.998274929211204309e+00
0.000000000000000000e+00,1.499999999999999944e-01,4.015762702578861643e-07,-1.873390436652671393e-08,9.999889459493923383e+00
0.000000000000000000e+00,9.999999999999997780e-02,4.409468793400122026e-07,-7.446407176241334707e-09,9.999767497689038720e+00
0.000000000000000000e+00,5.000000000000003747e-02,4.549362148487725943e-07,-2.472878598658321539e-09,9.999963999768027634e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.586451002045357000e-07,0.000000000000000000e+00,9.999950302577342853e+00
2.810789679500000013e-02,1.000000000000000000e+00,8.640373197009510875e+01,0.000000000000000000e+00,9.459475684385125760e+00
2.810789679500000013e-02,9.499999999999999556e-01,8.157532702516257928e+01,2.718051907786208865e+00,9.474936997222020096e+00
2.810789679500000013e-02,9.000000000000000222e-01,6.735554167124180935e+01,5.300775692142106088e+00,9.565958308096249141e+00
2.810789679500000013e-02,8.499999999999999778e-01,4.486949088523167006e+01,7.200125819346001599e+00,9.838837259742730268e+00
2.810789679500000013e-02,8.000000000000000444e-01,1.940068647854187489e+01,6.145735352123157469e+00,1.044587317388179137e+01
2.810789679500000013e-02,7.500000000000000000e-01,3.914429587115530573e+00,1.879475927616119701e+00,1.057258441611839039e+01
